product_name,category,content,embedding_text,created_at
Avocado,recipes,"Great in salads, sandwiches, or as a spread. Can be used in smoothies.","Avocado recipes: Great in salads, sandwiches, or as a spread. Can be used in smoothies.",2025-10-16 09:49:30
Avocado,selection,Choose avocados that yield to gentle pressure. Avoid very soft ones.,Avocado selection: Choose avocados that yield to gentle pressure. Avoid very soft ones.,2025-10-16 09:49:30
Avocado,seasonality,Peak season: September to November. Best quality and prices during this period.,Avocado seasonality: Peak season: September to November. Best quality and prices during this period.,2025-10-16 09:49:30
Mango,storage,"Store at room temperature until ripe, then refrigerate 3-5 days.","Mango storage: Store at room temperature until ripe, then refrigerate 3-5 days.",2025-10-16 09:49:30
Mango,nutrition,High in vitamin C and vitamin A. About 60 calories per 100g.,Mango nutrition: High in vitamin C and vitamin A. About 60 calories per 100g.,2025-10-16 09:49:30
Mango,recipes,"Excellent fresh, in juices, or desserts. Popular during Ethiopian summer.","Mango recipes: Excellent fresh, in juices, or desserts. Popular during Ethiopian summer.",2025-10-16 09:49:30
Mango,selection,Choose fragrant mangoes that give slightly to pressure. Avoid wrinkled skin.,Mango selection: Choose fragrant mangoes that give slightly to pressure. Avoid wrinkled skin.,2025-10-16 09:49:30
Mango,seasonality,Peak season: May to July. Abundant and affordable during this time.,Mango seasonality: Peak season: May to July. Abundant and affordable during this time.,2025-10-16 09:49:30
Milk,storage,Refrigerate immediately. Use within 5-7 days of opening.,Milk storage: Refrigerate immediately. Use within 5-7 days of opening.,2025-10-16 09:49:30
Milk,nutrition,"Excellent source of calcium, protein, and vitamin D. About 42 calories per 100ml.","Milk nutrition: Excellent source of calcium, protein, and vitamin D. About 42 calories per 100ml.",2025-10-16 09:49:30
Milk,recipes,"Used in Ethiopian coffee, tea, and for making traditional dishes.","Milk recipes: Used in Ethiopian coffee, tea, and for making traditional dishes.",2025-10-16 09:49:30
Milk,selection,Check expiration date. Choose fresh milk with proper refrigeration.,Milk selection: Check expiration date. Choose fresh milk with proper refrigeration.,2025-10-16 09:49:30
Milk,seasonality,Generally consistent pricing year-round with slight variations.,Milk seasonality: Generally consistent pricing year-round with slight variations.,2025-10-16 09:49:30
Cheese (Ayib),storage,Refrigerate in sealed container. Use within 2 weeks.,Cheese (Ayib) storage: Refrigerate in sealed container. Use within 2 weeks.,2025-10-16 09:49:30
Cheese (Ayib),nutrition,High in protein and calcium. About 280 calories per 100g.,Cheese (Ayib) nutrition: High in protein and calcium. About 280 calories per 100g.,2025-10-16 09:49:30
Cheese (Ayib),recipes,"Traditional Ethiopian cheese. Served with injera, in salads, or as side dish.","Cheese (Ayib) recipes: Traditional Ethiopian cheese. Served with injera, in salads, or as side dish.",2025-10-16 09:49:30
Cheese (Ayib),selection,"Choose white, fresh cheese without off-odors. Should be firm but not hard.","Cheese (Ayib) selection: Choose white, fresh cheese without off-odors. Should be firm but not hard.",2025-10-16 09:49:30
Cheese (Ayib),seasonality,Consistent availability. Prices may vary with milk production cycles.,Cheese (Ayib) seasonality: Consistent availability. Prices may vary with milk production cycles.,2025-10-16 09:49:30
Potato,storage,"Store in cool, dark place. Avoid refrigeration as it affects texture.","Potato storage: Store in cool, dark place. Avoid refrigeration as it affects texture.",2025-10-16 09:49:30
Potato,nutrition,"Good source of vitamin C, potassium, and fiber. About 77 calories per 100g.","Potato nutrition: Good source of vitamin C, potassium, and fiber. About 77 calories per 100g.",2025-10-16 09:49:30
Potato,recipes,"Versatile for boiling, baking, frying. Used in Ethiopian potato salads.","Potato recipes: Versatile for boiling, baking, frying. Used in Ethiopian potato salads.",2025-10-16 09:49:30
Potato,selection,Choose firm potatoes without green spots or sprouts.,Potato selection: Choose firm potatoes without green spots or sprouts.,2025-10-16 09:49:30
Potato,seasonality,Best availability after main harvest. Peak season: November to February.,Potato seasonality: Best availability after main harvest. Peak season: November to February.,2025-10-16 09:49:30
Banana,storage,Store at room temperature. Can refrigerate when ripe to extend life.,Banana storage: Store at room temperature. Can refrigerate when ripe to extend life.,2025-10-16 09:49:30
Banana,nutrition,Rich in potassium and vitamin B6. About 89 calories per 100g.,Banana nutrition: Rich in potassium and vitamin B6. About 89 calories per 100g.,2025-10-16 09:49:30
Banana,recipes,"Great as snack, in smoothies, or desserts. Popular with Ethiopian coffee.","Banana recipes: Great as snack, in smoothies, or desserts. Popular with Ethiopian coffee.",2025-10-16 09:49:30
Banana,selection,Choose yellow bananas with brown speckles for optimal ripeness.,Banana selection: Choose yellow bananas with brown speckles for optimal ripeness.,2025-10-16 09:49:30
Banana,seasonality,Available year-round with peak supplies during summer months.,Banana seasonality: Available year-round with peak supplies during summer months.,2025-10-16 09:49:30
White Cabbage,general,Fresh White Cabbage available in Ethiopian markets. Quality varies by season. Store properly for maximum freshness.,White Cabbage: Fresh produce available in Ethiopian markets with seasonal quality variations.,2025-10-16 09:49:30
Garlic,general,Fresh Garlic available in Ethiopian markets. Quality varies by season. Store properly for maximum freshness.,Garlic: Fresh produce available in Ethiopian markets with seasonal quality variations.,2025-10-16 09:49:30
Green Chili (ስታርታ),general,Fresh Green Chili (ስታርታ) available in Ethiopian markets. Quality varies by season. Store properly for maximum freshness.,Green Chili (ስታርታ): Fresh produce available in Ethiopian markets with seasonal quality variations.,2025-10-16 09:49:30
Beetroot,general,Fresh Beetroot available in Ethiopian markets. Quality varies by season. Store properly for maximum freshness.,Beetroot: Fresh produce available in Ethiopian markets with seasonal quality variations.,2025-10-16 09:49:30
Carrot,general,Fresh Carrot available in Ethiopian markets. Quality varies by season. Store properly for maximum freshness.,Carrot: Fresh produce available in Ethiopian markets with seasonal quality variations.,2025-10-16 09:49:30
Papaya,general,Fresh Papaya available in Ethiopian markets. Quality varies by season. Store properly for maximum freshness.,Papaya: Fresh produce available in Ethiopian markets with seasonal quality variations.,2025-10-16 09:49:30
Orange,general,Fresh Orange available in Ethiopian markets. Quality varies by season. Store properly for maximum freshness.,Orange: Fresh produce available in Ethiopian markets with seasonal quality variations.,2025-10-16 09:49:30
Apple,general,Fresh Apple available in Ethiopian markets. Quality varies by season. Store properly for maximum freshness.,Apple: Fresh produce available in Ethiopian markets with seasonal quality variations.,2025-10-16 09:49:30
Lettuce,general,Fresh Lettuce available in Ethiopian markets. Quality varies by season. Store properly for maximum freshness.,Lettuce: Fresh produce available in Ethiopian markets with seasonal quality variations.,2025-10-16 09:49:30
Spinach,general,Fresh Spinach available in Ethiopian markets. Quality varies by season. Store properly for maximum freshness.,Spinach: Fresh produce available in Ethiopian markets with seasonal quality variations.,2025-10-16 09:49:30
Cucumber,general,Fresh Cucumber available in Ethiopian markets. Quality varies by season. Store properly for maximum freshness.,Cucumber: Fresh produce available in Ethiopian markets with seasonal quality variations.,2025-10-16 09:49:30
Bell Pepper,general,Fresh Bell Pepper available in Ethiopian markets. Quality varies by season. Store properly for maximum freshness.,Bell Pepper: Fresh produce available in Ethiopian markets with seasonal quality variations.,2025-10-16 09:49:30
Sweet Potato,general,Fresh Sweet Potato available in Ethiopian markets. Quality varies by season. Store properly for maximum freshness.,Sweet Potato: Fresh produce available in Ethiopian markets with seasonal quality variations.,2025-10-16 09:49:30
Yogurt,general,Fresh Yogurt available in Ethiopian markets. Quality varies by season. Store properly for maximum freshness.,Yogurt: Fresh produce available in Ethiopian markets with seasonal quality variations.,2025-10-16 09:49:30
Butter,general,Fresh Butter available in Ethiopian markets. Quality varies by season. Store properly for maximum freshness.,Butter: Fresh produce available in Ethiopian markets with seasonal quality variations.,2025-10-16 09:49:30
Cream,general,Fresh Cream available in Ethiopian markets. Quality varies by season. Store properly for maximum freshness.,Cream: Fresh produce available in Ethiopian markets with seasonal quality variations.,2025-10-16 09:49:30
Apple,storage,"Refrigerate in the crisper drawer; keep away from ethylene‑sensitive produce. Best within 2–3 weeks.","Apple storage: Refrigerate in the crisper drawer; keep away from ethylene‑sensitive produce. Best within 2–3 weeks.",2025-10-19 09:00:00
